u,v,w
8,39,7
3,38,7
25,21,4
32,18,6
39,36,7
16,20,1
39,20,8
9,3,1
25,14,10
15,6,5
33,12,1
2,35,5
22,16,2
2,5,1
4,5,3
0,27,9
11,26,9
35,39,6
10,25,1
7,18,2
29,21,1
11,38,1
39,4,4
13,32,7
38,8,7
30,31,3
35,16,4
15,10,7
26,34,5
9,13,1
28,26,3
16,12,10
6,35,2
16,34,7
26,7,6
37,36,2
20,15,4
30,1,7
5,17,3
30,16,5
27,17,6
4,35,2
20,8,1
21,23,5
35,39,1
37,35,6
39,4,8
36,0,5
28,14,6
22,9,2
35,16,8
27,24,4
5,24,10
36,34,3
4,20,9
7,5,8
8,12,6
1,8,8
20,38,1
36,15,8
16,26,7
14,15,5
26,32,3
1,22,10
17,14,10
9,6,2
4,16,2
36,27,9
13,39,9
33,34,6
16,19,4
33,26,2
20,0,1
6,30,3
31,18,5
28,10,4
8,38,9
32,25,3
18,16,8
15,17,9
18,5,8
30,19,1
5,31,8
9,20,3
12,28,4
2,27,5
30,11,6
37,1,8
6,31,4
14,0,6
21,16,6
2,8,10
35,24,7
28,25,7
18,9,5
35,16,3
12,17,3
5,24,5
0,4,2
20,7,8
10,21,7
29,17,7
18,12,6
33,34,1
25,37,2
23,6,3
2,30,6
0,33,1
18,16,3
25,9,10
18,38,9
14,33,7
2,11,10
2,0,10
16,11,9
5,24,9
15,2,6
30,3,2
30,14,2
18,12,1
17,25,6
30,26,3
32,2,10
38,30,6
1,18,2
3,18,4
10,24,3
33,17,10
32,5,2
2,11,5
36,25,10
11,10,4
15,21,5
18,8,8
7,16,2
10,31,2
21,38,10
21,19,6
13,27,2
4,11,3
8,26,2
26,21,6
28,6,10
35,27,7
17,36,1
0,21,8
39,0,9
7,23,1
24,26,10
27,0,9
30,29,9
24,30,8
20,22,10
34,36,5
35,4,5
23,0,7
19,26,2
35,14,9
26,36,8
1,13,3
27,5,7
12,8,6
37,30,10
22,37,4
24,22,8
26,32,1
27,30,9
9,19,1
9,7,8
1,33,8
19,33,10
26,1,4
22,34,7
7,19,7
21,11,2
22,18,8
11,36,10
14,21,9
0,10,2
15,17,7
31,20,3
24,8,2
1,20,10
1,9,10
7,34,1
38,33,6
16,14,8
2,10,8
36,6,5
8,3,9
12,8,1
17,35,8
34,31,6
24,22,3
29,38,10
13,30,6
4,14,7
38,6,3
26,31,9
5,27,4
11,16,9
16,37,5
24,15,9
37,22,6
39,3,10
16,10,6
25,39,9
0,32,3
8,10,7
6,2,1
1,20,5
23,0,6
33,10,1
14,13,5
14,16,10
17,24,3
11,23,7
0,28,5
32,31,8
10,23,10
28,11,10
2,37,2
24,3,3
29,7,8
3,32,4
8,25,9
36,9,10
13,10,10
26,12,9
33,16,7
3,24,9
6,32,10
34,12,5
10,4,5
12,15,4
30,9,6
21,14,6
7,22,8
7,33,8
31,9,2
33,39,5
16,35,3
5,34,7
10,11,4
29,3,6
1,32,1
21,6,7
26,38,2
4,2,5
28,0,5
22,14,5
34,0,8
21,18,8
28,31,1
14,39,3
33,5,2
37,10,3
20,1,7
30,32,3
12,37,8
36,32,6
5,25,6
3,6,1
8,10,6
26,34,9
17,20,5
10,38,7
0,5,3
11,20,1
0,39,10
3,1,7
38,25,1
26,31,3
28,20,5
21,35,10
28,23,10
18,3,7
38,32,9
31,19,5
15,0,1
6,24,10
25,11,8
27,37,5
27,18,10
4,32,5
2,35,8
13,9,3
1,12,9
38,25,5
16,39,4
13,33,6
14,8,5
36,23,6
6,1,7
26,3,3
10,34,9
10,37,5
31,30,10
9,33,4
30,39,10
30,20,6
21,13,4
7,14,7
30,12,2
31,27,4
19,5,7
26,34,8
28,7,2
33,0,7
12,21,4
13,29,4
28,8,3
36,38,8
2,16,8
3,35,8
28,11,8
24,17,3
10,6,4
22,28,10
9,2,3
39,16,4
6,20,6
36,23,10
32,26,3
13,24,10
37,32,3
3,30,5
12,7,7
21,5,4
16,34,5
6,24,9
23,14,1
15,22,6
25,36,9
37,9,10
8,13,1
29,28,6
21,23,3
27,10,1
9,21,2
16,39,3
5,13,3
14,23,2
11,15,10
14,0,9
31,7,7
10,3,2
18,28,3
3,30,9
30,31,5
3,7,7
7,32,5
12,17,6
30,4,6
14,37,3
2,4,6
16,15,5
12,29,7
2,32,6
5,28,5
22,24,3
14,38,4
19,31,9
28,10,2
17,15,9
34,22,7
6,30,10
26,25,7
25,17,8
19,35,6
5,31,6
39,16,3
7,1,4
39,4,10
18,28,7
17,33,8
29,16,4
36,37,10
19,11,8
26,9,3
4,32,3
3,14,10
34,2,6
30,15,6
13,20,7
14,11,9
0,30,3
25,6,3
28,2,2
26,2,9
6,11,10
30,38,7
